"Kode";"Bezeichnung1";"Bezeichnung2";"Bezeichnung3";"Kapitel";"Version"
"A00";"Cholera";"Cholera";"";"1";"2015"
"A00.0";"Cholera durch Vibrio cholerae O:1, Biovar cholerae";"Cholera";"Cholera durch Vibrio cholerae O:1, Biovar cholerae";"1";"2015"
"A00.1";"Cholera durch Vibrio cholerae O:1, Biovar eltor";"Cholera";"Cholera durch Vibrio cholerae O:1, Biovar eltor";"1";"2015"
"A00.9";"Cholera, nicht näher bezeichnet";"Cholera";"Cholera, nicht näher bezeichnet";"1";"2015"
"A01";"Typhus abdominalis und Paratyphus";"Typhus abdominalis und Paratyphus";"";"1";"2015"
"A01.0";"Typhus abdominalis";"Typhus abdominalis und Paratyphus";"Typhus abdominalis";"1";"2015"
"A01.1";"Paratyphus A";"Typhus abdominalis und Paratyphus";"Paratyphus A";"1";"2015"
"A01.2";"Paratyphus B";"Typhus abdominalis und Paratyphus";"Paratyphus B";"1";"2015"
"A01.3";"Paratyphus C";"Typhus abdominalis und Paratyphus";"Paratyphus C";"1";"2015"
"A01.4";"Paratyphus, nicht näher bezeichnet";"Typhus abdominalis und Paratyphus";"Paratyphus, nicht näher bezeichnet";"1";"2015"
"A02";"Sonstige Salmonelleninfektionen";"Sonstige Salmonelleninfektionen";"";"1";"2015"
"A02.0";"Salmonellenenteritis";"Sonstige Salmonelleninfektionen";"Salmonellenenteritis";"1";"2015"
"A02.1";"Salmonellensepsis";"Sonstige Salmonelleninfektionen";"Salmonellensepsis";"1";"2015"
"A02.2";"Lokalisierte Salmonelleninfektionen";"Sonstige Salmonelleninfektionen";"Lokalisierte Salmonelleninfektionen";"1";"2015"
"A02.8";"Sonstige näher bezeichnete Salmonelleninfektionen";"Sonstige Salmonelleninfektionen";"Sonstige näher bezeichnete Salmonelleninfektionen";"1";"2015"
"A02.9";"Salmonelleninfektion, nicht näher bezeichnet";"Sonstige Salmonelleninfektionen";"Salmonelleninfektion, nicht näher bezeichnet";"1";"2015"
