ICD,Verweildauer
A02.0,3.0
A02.2,15.0
A04.3,18.0
A04.5,2.0
A04.7,15.0
A08.0,5.0
A08.1,2.0
A08.2,4.0
A08.3,30.0
A09.0,4.0
A09.9,3.0
A15.0,11.0
A15.3,5.0
A16.9,40.0
A18.2,3.0
A18.3,33.0
A32.7,12.0
A40.2,11.0
A40.3,21.0
A40.8,21.0
A41.0,26.0
A41.1,23.0
A41.2,32.0
A41.4,23.0
A41.51,12.0
A41.52,23.0
A41.58,19.0
A41.8,15.0
A41.9,25.0
A46,10.0
A48.0,44.0
A48.8,7.0
A49.0,24.0
A49.8,13.0
A49.9,9.0
A51.3,1.0
A56.0,2.0
A57,13.0
A60.0,6.0
A69.2,13.0
A86,36.0
B00.8,9.0
B01.9,8.0
B02.2,9.0
B02.3,32.0
B02.7,12.0
B02.8,21.0
B02.9,10.0
B07,1.0
B08.1,1.0
B09,8.0
B18.2,9.0
B23.8,9.0
B25.88,28.0
B27.0,3.5
B27.8,4.0
B33.8,1.0
B35.1,1.0
B37.1,8.0
B37.3,14.0
B37.7,23.0
B37.81,9.0
B44.0,23.0
B44.1,10.0
B58.2,15.0
B59,7.0
B99,9.0
C00.0,4.0
C00.1,10.0
C00.4,6.0
C00.8,7.0
C01,17.0
C02.0,8.0
C02.1,9.0
C02.3,16.0
C02.8,14.0
C02.9,40.5
C03.0,11.0
C03.1,15.0
C04.0,8.0
C04.1,3.0
C04.8,25.0
C04.9,28.0
C05.0,26.0
C05.1,7.0
C05.2,26.0
C05.8,24.0
C06.0,7.0
C06.2,3.0
C06.8,8.0
C07,35.0
C08.8,27.0
C09.0,7.0
C09.1,16.0
C09.8,2.0
C10.2,9.0
C10.3,13.0
C10.8,24.0
C10.9,62.0
C11.8,9.0
C11.9,32.0
C12,8.0
C13.0,5.0
C13.1,16.0
C13.8,30.0
C13.9,40.0
C15.0,67.0
C15.1,31.0
C15.2,1.0
C15.3,29.0
C15.4,50.0
C15.5,31.0
C15.8,14.0
C15.9,11.0
C16.0,18.0
C16.1,7.0
C16.2,31.0
C16.3,18.0
C16.4,17.0
C16.5,40.0
C16.8,18.0
C16.9,15.0
C17.0,11.0
C17.1,12.0
C17.2,14.0
C17.8,13.0
C18.0,20.0
C18.1,14.0
C18.2,27.0
C18.4,9.0
C18.5,3.0
C18.7,30.0
C18.8,9.0
C18.9,29.0
C19,11.0
C20,15.0
C21.0,53.5
C21.1,3.0
C21.8,57.0
C22.0,14.0
C22.1,28.0
C22.7,7.0
C23,28.0
C24.0,31.0
C24.1,24.0
C24.8,14.0
C24.9,10.0
C25.0,15.0
C25.1,27.0
C25.2,19.0
C25.4,2.0
C25.7,38.0
C25.8,20.0
C25.9,52.0
C30.0,12.0
C31.0,11.0
C31.8,9.0
C32.0,6.0
C32.1,34.0
C32.2,21.0
C32.8,19.0
C32.9,0.0
C33,14.0
C34.0,10.0
C34.1,8.0
C34.2,4.0
C34.3,9.0
C34.8,16.0
C34.9,57.0
C37,10.0
C38.3,3.0
C38.4,11.0
C38.8,44.0
C40.0,26.0
C40.2,4.0
C41.01,23.0
C41.4,6.0
C41.8,15.0
C43.0,4.0
C43.1,5.0
C43.2,15.0
C43.3,7.0
C43.4,7.0
C43.5,6.0
C43.6,5.0
C43.7,4.0
C43.8,40.0
C43.9,4.0
C44.0,7.0
C44.1,6.0
C44.2,22.0
C44.3,5.0
C44.4,6.0
C44.5,4.0
C44.6,6.0
C44.7,10.0
C44.9,7.0
C45.1,40.0
C47.2,22.0
C47.3,1.0
C47.4,12.0
C47.9,6.0
C48.0,23.0
C48.2,13.0
C48.8,18.0
C49.0,30.0
C49.1,21.0
C49.2,17.0
C49.3,13.0
C49.4,13.0
C49.5,70.0
C49.6,12.0
C49.8,14.0
C49.9,29.0
C50.0,7.0
C50.1,5.5
C50.2,6.0
C50.3,4.0
C50.4,6.0
C50.5,8.0
C50.6,5.0
C50.8,11.0
C50.9,70.0
C51.0,3.0
C51.1,15.0
C51.8,27.0
C51.9,32.0
C52,24.0
C53.0,25.0
C53.1,12.0
C53.8,22.0
C53.9,5.0
C54.0,30.0
C54.1,20.0
C54.8,16.0
C54.9,3.0
C55,16.0
C56,16.0
C57.0,12.0
C57.9,2.0
C58,2.0
C60.0,1.0
C60.1,16.0
C61,9.0
C62.0,25.0
C62.1,8.0
C62.9,6.0
C63.7,4.0
C64,10.0
C65,10.0
C66,11.0
C67.0,3.0
C67.2,7.0
C67.3,6.0
C67.4,7.0
C67.5,4.0
C67.6,5.0
C67.8,10.0
C67.9,7.0
C68.8,21.0
C69.0,4.0
C69.3,20.0
C69.5,17.0
C69.6,34.0
C69.9,3.0
C70.9,6.0
C71.0,14.0
C71.1,15.0
C71.2,23.0
C71.3,17.0
C71.4,13.0
C71.5,24.0
C71.6,4.0
C71.7,49.0
C71.8,12.0
C71.9,9.0
C72.0,24.0
C73,6.0
C74.0,29.0
C74.1,3.0
C75.3,12.0
C75.5,6.5
C75.8,25.0
C75.9,12.0
C76.0,9.0
C76.2,12.5
C76.3,17.0
C77.0,5.0
C77.1,8.0
C77.2,10.0
C77.3,15.0
C77.4,23.0
C77.5,10.0
C77.8,9.0
C78.0,9.0
C78.1,20.0
C78.2,11.0
C78.4,30.0
C78.6,13.0
C78.7,9.0
C78.8,10.0
C79.0,13.0
C79.1,4.0
C79.2,6.5
C79.3,18.0
C79.4,14.0
C79.5,20.0
C79.6,5.0
C79.7,11.0
C79.82,32.0
C79.88,25.0
C79.9,2.0
C80.0,18.0
C80.9,3.0
C81.0,17.0
C81.2,8.0
C81.7,10.0
C81.9,18.5
C82.0,7.0
C82.1,22.0
C82.2,11.0
C82.3,27.0
C82.4,6.0
C82.9,72.0
C83.0,18.0
C83.1,10.0
C83.3,16.0
C83.5,46.0
C84.0,24.0
C84.4,22.0
C84.5,18.0
C84.6,7.0
C84.8,16.0
C85.1,55.0
C85.7,7.0
C85.9,6.0
C86.5,7.0
C88.00,7.0
C88.40,7.0
C90.00,23.0
C90.20,41.0
C90.30,12.0
C91.00,21.0
C91.01,3.0
C91.10,10.0
C91.40,21.0
C91.50,15.0
C92.00,35.0
C92.01,38.0
C92.10,55.0
C92.30,28.0
C92.40,28.0
C92.50,60.0
C92.51,1.0
C93.10,31.0
C93.21,15.0
C93.31,4.5
C95.90,6.0
D02.0,3.0
D03.6,4.0
D03.7,63.0
D05.1,5.0
D06.0,2.5
D06.1,1.0
D07.2,4.0
D07.4,3.0
D07.5,1.0
D09.0,5.0
D10.1,2.0
D10.3,2.0
D10.5,15.0
D10.6,2.0
D11.0,6.0
D11.7,3.0
D12.0,22.0
D12.3,10.0
D12.4,2.0
D12.5,2.0
D12.6,9.0
D12.8,6.0
D12.9,1.0
D13.0,14.0
D13.1,2.0
D13.2,6.0
D13.3,17.0
D13.4,8.0
D13.5,14.0
D13.6,15.5
D14.0,6.0
D14.1,2.0
D14.3,8.0
D15.0,11.0
D15.1,15.0
D15.2,2.0
D16.0,6.0
D16.2,5.5
D16.3,6.0
D16.41,10.0
D16.42,21.0
D16.5,9.0
D16.9,1.0
D17.0,4.0
D17.1,2.5
D17.2,8.0
D17.5,11.0
D17.6,8.0
D17.7,2.5
D18.01,2.0
D18.02,15.0
D18.03,8.0
D18.05,3.0
D18.08,2.5
D18.11,3.0
D18.18,0.0
D19.1,2.0
D20.1,2.0
D21.0,4.0
D21.1,4.0
D21.2,6.0
D21.3,3.0
D21.5,7.0
D21.6,1.0
D21.9,2.0
D22.2,0.0
D22.3,1.0
D22.4,4.0
D22.5,3.0
D22.6,1.0
D22.7,3.0
D22.9,8.0
D23.1,4.0
D23.2,0.0
D23.3,4.0
D23.9,7.0
D24,3.0
D25.0,2.0
D25.1,6.0
D25.2,6.0
D25.9,6.0
D26.7,4.0
D27,5.0
D29.0,1.0
D29.1,4.0
D29.2,2.0
D29.4,3.0
D30.0,10.0
D30.3,8.5
D32.0,18.0
D32.1,29.0
D32.9,9.0
D33.0,27.0
D33.1,10.0
D33.3,13.0
D33.4,11.0
D33.7,8.0
D33.9,7.0
D34,3.0
D35.0,13.0
D35.2,12.0
D36.0,6.0
D36.1,6.0
D37.0,8.0
D37.2,6.0
D37.4,39.0
D37.5,1.0
D37.6,6.0
D37.70,13.0
D38.1,4.0
D38.3,2.0
D39.1,5.0
D40.0,1.0
D40.1,1.0
D40.7,2.0
D41.0,8.0
D41.1,3.0
D41.2,3.0
D41.3,2.0
D41.4,5.0
D43.0,15.0
D43.1,17.0
D43.2,13.0
D43.3,8.0
D43.4,22.0
D44.1,11.0
D44.2,4.0
D44.5,24.0
D44.7,22.0
D44.8,10.0
D45,38.0
D46.0,5.0
D46.2,1.0
D46.4,5.0
D46.7,5.0
D47.1,3.0
D47.2,63.0
D47.4,71.0
D47.7,3.0
D47.9,105.0
D48.0,8.0
D48.1,10.0
D48.2,3.0
D48.3,16.0
D48.5,7.0
D48.7,31.0
D48.9,13.0
D50.0,7.0
D50.8,5.0
D57.0,3.0
D57.1,1.0
D59.1,7.0
D59.2,8.0
D59.3,21.0
D59.5,70.0
D59.8,30.0
D59.9,8.0
D61.0,1.0
D61.10,2.0
D61.19,2.0
D61.3,44.0
D61.8,13.0
D62,7.0
D64.4,2.0
D64.8,3.0
D64.9,5.0
D66,1.0
D68.0,2.0
D68.30,10.0
D68.31,17.0
D68.4,3.0
D69.0,22.0
D69.2,8.0
D69.3,2.0
D69.41,4.0
D69.58,5.0
D69.61,148.0
D69.8,2.0
D70.10,7.5
D70.12,8.0
D70.13,8.0
D70.14,11.0
D70.18,10.0
D70.19,5.0
D70.6,6.0
D70.7,1.0
D76.1,136.0
D76.3,28.0
D80.3,1.0
D80.7,1.0
D80.9,1.0
D83.8,1.0
D83.9,1.0
D84.1,8.0
D84.8,32.0
D84.9,17.0
D86.0,13.0
D86.1,2.0
D86.2,2.0
D86.3,10.5
D86.8,7.0
E04.0,8.0
E04.1,4.0
E04.2,4.0
E04.8,18.0
E05.0,6.0
E05.1,4.0
E05.2,6.0
E05.8,3.0
E05.9,5.0
E06.3,4.0
E06.5,4.0
E07.0,4.0
E10.11,14.0
E10.30,1.0
E10.60,12.0
E10.61,1.0
E10.91,9.0
E11.01,25.0
E11.11,12.0
E11.20,12.0
E11.30,5.0
E11.31,9.0
E11.41,17.0
E11.50,7.0
E11.51,26.0
E11.60,10.0
E11.61,17.0
E11.74,15.0
E11.75,23.0
E11.81,2.0
E11.90,34.0
E11.91,18.0
E13.01,1.0
E13.21,13.0
E13.61,7.0
E13.91,44.0
E14.01,25.0
E16.1,4.0
E16.2,9.0
E21.0,4.0
E22.0,5.0
E22.2,33.0
E23.0,3.0
E24.0,17.0
E24.8,15.0
E26.0,5.0
E27.0,7.0
E34.4,0.0
E34.8,12.0
E51.2,24.0
E61.1,5.0
E70.1,5.0
E74.1,2.0
E75.2,3.0
E80.1,7.0
E80.6,7.0
E83.1,1.0
E83.50,16.0
E83.58,15.0
E84.0,9.0
E84.80,10.0
E84.9,14.0
E85.4,28.0
E86,2.5
E87.1,9.0
E87.5,6.0
E87.6,15.0
E87.8,8.0
E88.8,6.0
E89.2,16.0
F01.0,7.0
F01.1,18.5
F01.2,31.0
F01.3,17.5
F01.8,20.0
F01.9,20.0
F03,18.0
F05.0,12.0
F05.1,15.0
F05.8,8.0
F05.9,21.0
F06.0,19.0
F06.2,9.0
F06.3,26.0
F06.6,2.0
F06.7,33.0
F06.8,13.0
F06.9,21.0
F07.0,41.0
F07.1,24.0
F07.2,7.0
F07.8,34.0
F07.9,16.5
F09,17.0
F10.0,1.0
F10.1,1.0
F10.2,6.0
F10.3,8.0
F10.4,13.0
F10.5,10.0
F10.6,35.0
F10.7,45.0
F11.2,8.0
F11.3,0.0
F12.0,1.0
F12.2,9.0
F12.3,2.0
F12.5,1.0
F13.0,2.0
F13.2,15.0
F13.3,47.0
F14.0,1.0
F15.0,5.0
F15.2,9.0
F15.5,2.0
F19.0,1.0
F19.1,20.0
F19.2,5.0
F19.3,7.0
F19.5,2.0
F20.0,25.0
F20.1,5.0
F20.2,22.0
F20.3,27.0
F20.5,68.0
F20.6,20.0
F20.8,72.0
F21,24.0
F22.0,41.0
F23.0,20.0
F23.1,18.0
F23.2,3.0
F23.3,6.0
F23.8,14.0
F23.9,22.0
F25.0,34.0
F25.1,27.0
F25.2,31.0
F25.8,21.0
F25.9,21.0
F30.1,0.0
F30.8,1.0
F31.0,21.0
F31.1,30.0
F31.2,59.0
F31.3,22.0
F31.4,42.0
F31.5,55.0
F31.6,30.0
F31.8,59.0
